symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2020-12-08 00:00:00+00:00,9.91,10.15,9.695,9.7,611819,9.91,10.15,9.695,9.7,611819,0.0,1.0
TCS,2020-12-09 00:00:00+00:00,10.82,11.07,9.9058,10.0,1443155,10.82,11.07,9.9058,10.0,1443155,0.0,1.0
TCS,2020-12-10 00:00:00+00:00,10.78,11.43,10.03,10.64,1271351,10.78,11.43,10.03,10.64,1271351,0.0,1.0
TCS,2020-12-11 00:00:00+00:00,10.52,10.98,10.41,10.76,447026,10.52,10.98,10.41,10.76,447026,0.0,1.0
TCS,2020-12-14 00:00:00+00:00,10.44,10.75,10.01,10.64,668279,10.44,10.75,10.01,10.64,668279,0.0,1.0
TCS,2020-12-15 00:00:00+00:00,10.81,10.94,10.19,10.4,825960,10.81,10.94,10.19,10.4,825960,0.0,1.0
TCS,2020-12-16 00:00:00+00:00,10.58,10.97,10.36,10.85,742734,10.58,10.97,10.36,10.85,742734,0.0,1.0
TCS,2020-12-17 00:00:00+00:00,10.81,11.16,10.485,10.73,944004,10.81,11.16,10.485,10.73,944004,0.0,1.0
TCS,2020-12-18 00:00:00+00:00,9.99,10.98,9.82,10.84,1297081,9.99,10.98,9.82,10.84,1297081,0.0,1.0
TCS,2020-12-21 00:00:00+00:00,10.01,10.19,9.56,9.68,730246,10.01,10.19,9.56,9.68,730246,0.0,1.0
TCS,2020-12-22 00:00:00+00:00,12.04,12.17,10.16,10.51,3444210,12.04,12.17,10.16,10.51,3444210,0.0,1.0
TCS,2020-12-23 00:00:00+00:00,12.82,13.84,12.1,12.13,2774201,12.82,13.84,12.1,12.13,2774201,0.0,1.0
TCS,2020-12-24 00:00:00+00:00,12.21,12.9512,11.93,12.9,886834,12.21,12.9512,11.93,12.9,886834,0.0,1.0
TCS,2020-12-28 00:00:00+00:00,10.8,12.42,10.75,12.38,1303680,10.8,12.42,10.75,12.38,1303680,0.0,1.0
TCS,2020-12-29 00:00:00+00:00,9.87,11.0,9.72,10.96,2109295,9.87,11.0,9.72,10.96,2109295,0.0,1.0
TCS,2020-12-30 00:00:00+00:00,9.74,10.19,9.716,9.88,835924,9.74,10.19,9.716,9.88,835924,0.0,1.0
TCS,2020-12-31 00:00:00+00:00,9.54,9.94,9.47,9.82,1417419,9.54,9.94,9.47,9.82,1417419,0.0,1.0
TCS,2021-01-04 00:00:00+00:00,9.72,9.83,9.23,9.54,953685,9.72,9.83,9.23,9.54,953685,0.0,1.0
TCS,2021-01-05 00:00:00+00:00,9.79,9.94,9.4501,9.63,1128144,9.79,9.94,9.4501,9.63,1128144,0.0,1.0
TCS,2021-01-06 00:00:00+00:00,11.07,11.1,9.75,9.75,1389068,11.07,11.1,9.75,9.75,1389068,0.0,1.0
TCS,2021-01-07 00:00:00+00:00,11.35,11.62,10.85,10.93,1030797,11.35,11.62,10.85,10.93,1030797,0.0,1.0
TCS,2021-01-08 00:00:00+00:00,11.36,11.6555,11.21,11.45,701230,11.36,11.6555,11.21,11.45,701230,0.0,1.0
TCS,2021-01-11 00:00:00+00:00,11.48,11.71,10.63,11.14,653558,11.48,11.71,10.63,11.14,653558,0.0,1.0
TCS,2021-01-12 00:00:00+00:00,12.04,12.06,11.54,11.54,579976,12.04,12.06,11.54,11.54,579976,0.0,1.0
TCS,2021-01-13 00:00:00+00:00,12.67,13.24,11.95,12.17,1642345,12.67,13.24,11.95,12.17,1642345,0.0,1.0
TCS,2021-01-14 00:00:00+00:00,12.8,13.17,12.35,12.8,940693,12.8,13.17,12.35,12.8,940693,0.0,1.0
TCS,2021-01-15 00:00:00+00:00,11.68,12.98,11.29,12.8,962046,11.68,12.98,11.29,12.8,962046,0.0,1.0
TCS,2021-01-19 00:00:00+00:00,11.9,12.19,11.5276,11.9,442651,11.9,12.19,11.5276,11.9,442651,0.0,1.0
TCS,2021-01-20 00:00:00+00:00,11.72,12.1,11.35,12.01,477907,11.72,12.1,11.35,12.01,477907,0.0,1.0
TCS,2021-01-21 00:00:00+00:00,12.35,12.75,11.7552,11.76,577801,12.35,12.75,11.7552,11.76,577801,0.0,1.0
TCS,2021-01-22 00:00:00+00:00,12.43,12.53,12.02,12.19,470215,12.43,12.53,12.02,12.19,470215,0.0,1.0
TCS,2021-01-25 00:00:00+00:00,13.15,14.5573,12.76,12.76,1341633,13.15,14.5573,12.76,12.76,1341633,0.0,1.0
TCS,2021-01-26 00:00:00+00:00,12.94,13.54,12.48,13.3,627641,12.94,13.54,12.48,13.3,627641,0.0,1.0
TCS,2021-01-27 00:00:00+00:00,13.22,14.15,12.54,12.58,1086127,13.22,14.15,12.54,12.58,1086127,0.0,1.0
TCS,2021-01-28 00:00:00+00:00,13.27,14.2084,12.7,13.25,856581,13.27,14.2084,12.7,13.25,856581,0.0,1.0
TCS,2021-01-29 00:00:00+00:00,13.63,14.25,13.1601,13.34,1069919,13.63,14.25,13.1601,13.34,1069919,0.0,1.0
TCS,2021-02-01 00:00:00+00:00,15.51,15.72,13.92,14.2,2043072,15.51,15.72,13.92,14.2,2043072,0.0,1.0
TCS,2021-02-02 00:00:00+00:00,14.81,15.7611,14.2876,15.62,1927296,14.81,15.7611,14.2876,15.62,1927296,0.0,1.0
TCS,2021-02-03 00:00:00+00:00,15.57,17.17,14.54,14.54,3025685,15.57,17.17,14.54,14.54,3025685,0.0,1.0
TCS,2021-02-04 00:00:00+00:00,15.61,16.25,15.27,15.83,1352211,15.61,16.25,15.27,15.83,1352211,0.0,1.0
